1.00 5.00 0.20 1.00 0.20 0.20 2.00 0.14 0.20 0.20 0.33 2.00 2.00 0.33 0.20 0.33
0.20 1.00 0.20 2.00 0.33 0.33 1.00 0.14 0.33 0.33 0.50 2.00 2.00 0.50 0.33 0.33
5.00 5.00 1.00 5.00 0.33 0.33 2.00 0.20 0.33 0.50 3.00 4.00 2.00 1.00 2.00 0.50
1.00 0.50 0.20 1.00 0.20 0.14 1.00 0.14 0.33 0.20 0.33 3.00 3.00 0.33 0.33 0.33
5.00 3.00 3.00 5.00 1.00 0.50 3.00 0.20 1.00 0.33 2.00 3.00 5.00 3.00 3.00 3.00
5.00 3.00 3.00 7.00 2.00 1.00 3.00 0.20 3.00 2.00 3.00 5.00 2.00 3.00 3.00 2.00
0.50 1.00 0.50 1.00 0.33 0.33 1.00 0.14 3.00 3.00 0.20 0.14 0.33 0.33 0.33 0.33
7.00 7.00 5.00 7.00 5.00 5.00 7.00 1.00 5.00 3.00 5.00 5.00 5.00 5.00 5.00 5.00
5.00 3.00 3.00 3.00 1.00 0.33 0.33 0.20 1.00 0.33 2.00 5.00 0.20 0.33 0.33 3.00
5.00 3.00 2.00 5.00 3.00 0.50 0.33 0.33 3.00 1.00 3.00 5.00 5.00 5.00 5.00 3.00
3.00 2.00 0.33 0.33 0.50 0.33 5.00 0.20 0.50 0.33 1.00 3.00 3.00 3.00 3.00 3.00
0.50 0.50 0.25 0.33 0.33 0.20 7.00 0.20 0.20 0.20 0.33 1.00 0.20 0.20 0.20 0.20
0.50 0.50 0.50 0.33 0.20 0.50 3.00 0.20 5.00 0.20 0.33 5.00 1.00 0.33 0.33 0.33
3.00 2.00 1.00 3.00 0.33 0.33 3.00 0.20 3.00 0.20 0.33 5.00 3.00 1.00 0.33 0.33
5.00 3.00 0.50 3.00 0.33 0.33 3.00 0.20 3.00 0.20 0.33 5.00 3.00 3.00 1.00 2.00
3.00 3.00 2.00 3.00 0.33 0.50 3.00 0.20 0.33 0.33 0.33 5.00 3.00 3.00 0.50 1.00
